Nom,Adresse,Label
Canionul Sapte Scari (Seven Ladders Canyon),  Timisul de Jos Roumanie ,Canyons
Poenari Castle,  Arefu Roumanie ,Châteaux
Muzeul Castelul Corvinilor,  Str. Castelului nr. 1-3 Hunedoara 331141 Roumanie ,Châteaux
Château de Peleș,  Str. Pelesului nr. 2 | Sinaia jud. Prahova Sinaia 106100 Roumanie ,Châteaux
Pelișor Castle,  Aleea Peleșului 2 Sinaia 106100 Roumanie ,Châteaux
Merry Cemetery of Sapanta,  Sapanta Romania Sapanta 437305 Roumanie ,Cimetières
Bellu Cemetery,  Calea Serban Voda nr. 249 sector 4 Bucarest Roumanie ,Cimetières
St. Michael's Church,  Piata Unirii Cluj-Napoca 400015 Roumanie ,Églises et cathédrales
Catedrala Reintregirii Neamului (Coronation Cathedral),  Strada Mihai Viteazu 16 Alba Iulia 510010 Roumanie ,Églises et cathédrales
Patriarchal Cathedral,  Str Dealul Mitropoliei Piata Unirii Bucarest Roumanie ,Églises et cathédrales
Église Stavropoleos,  Str. Stavropoleos nr.4 Bucarest Roumanie ,Églises et cathédrales
Biertan Fortified Church,  Biertan Roumanie ,Églises et cathédrales
Timișoara Orthodox Cathedral,  Bulevardul Regele Ferdinand I Timisoara Roumanie ,Églises et cathédrales
Cheile Turzii - Turda Gorge,  DJ107L Cluj-Napoca Roumanie ,Espaces naturels et sauvages
Libearty Bear Sanctuary Zarnesti,  DN 73A km 6 - near the entrance in Zarnesti from Rasnov Brasov 500075 Roumanie ,Espaces naturels et sauvages
Cismigiu Gardens,  Intersection of Piata Revolutiei and B-dul Kogalniceanu Bucarest Roumanie ,Jardins
Botanical Garden,  Republicii street 42 Cluj-Napoca Roumanie ,Jardins
Roses Park,  Academician Alexandru Borza Street Timisoara Roumanie ,Jardins
Turda Salt Mine,  Str. Aleea Durgaului 7 Turda 401200 Roumanie ,Mines
Mount Tampa,  Brasov Roumanie ,Montagnes
Mountain Postavarul,  Poiana Brasov Roumanie ,Montagnes
Bucegi Mountains,  Main Steet Sinaia Roumanie ,Montagnes
Piața Unirii,  Timisoara Roumanie ,Monuments et sites remarquables
Piata Mica,  Sibiu Roumanie ,Monuments et sites remarquables
Strada Nicolae Balcescu,  Str Nicolas Balcescu Sibiu Roumanie ,Monuments et sites remarquables
Turnul Sfatului (The Tower of the Council),  Sibiu Roumanie ,Monuments et sites remarquables
Chiesa Fortificata,  Viscri Viscri Roumanie ,Monuments et sites remarquables
Council Square,  Piata Sfatului Brasov Roumanie ,Monuments et sites remarquables
The Tower of Stairs (Turnul Scarilor),  Piata Huet 3 Sibiu Roumanie ,Monuments et sites remarquables
Tour de l’Horloge,  Strada Turnului Sighisoara Roumanie ,Monuments et sites remarquables
Victory Square (Piata Victoriei),  Timisoara Roumanie ,Monuments et sites remarquables
Catedrala Reintregirii Neamului (Coronation Cathedral),  Strada Mihai Viteazu 16 Alba Iulia 510010 Roumanie ,Monuments et sites remarquables
Grand-Place (Piata Mare),  Sibiu Roumanie ,Monuments et sites remarquables
Carol Park (Liberty Park),  Filaret hill Bucarest Roumanie ,Monuments et statues
King Matthias Corvin Statue,  Piata Unirii Cluj-Napoca Roumanie ,Monuments et statues
The Art Collections Museum,  111 Calea Victoriei Bucarest Roumanie ,Musées
Village Museum (Muzeul Satului),  Kiseleff Road 28-30 | In Herastrau Park Bucarest 713211 Roumanie ,Musées
Brukenthal National Museum,  Piata Mare 5 Sibiu 550163 Roumanie ,Musées
Timișoara Orthodox Cathedral,  Bulevardul Regele Ferdinand I Timisoara Roumanie ,Musées
Astra National Museum Complex,  11 Piata Mica Sibiu Roumanie ,Musées
Grigore Antipa National Museum of Natural History,  Sos. Kiseleff nr. 1 Bucarest 011341 Roumanie ,Musées
Turda Salt Mine,  Str. Aleea Durgaului 7 Turda 401200 Roumanie ,Musées
Palais Cotroceni,  B-dul. Geniului 1 Bucarest 060116 Roumanie ,Musées
Casino Sinaia,  2nd carol I Avenue Sinaia Roumanie ,Musées
Prima Scoala Romaneasca,  Piata Unirii no. 2-3 Brasov Roumanie ,Musées
Memorialul Revolutiei,  Str. Oituz nr. 2B Timisoara 300086 Roumanie ,Musées
Palace of Culture,  George Enescu Number 2 Tirgu Mures Roumanie ,Musées
Muzeul de Arta,  Timisoara Piata Unirii nr.1 Cod Timisoara 300085 Roumanie ,Musées
Memorial of the Victims of Communism and of the Resistance,  Str. Corneliu Coposu No. 4 Sighetu Marmatiei Roumanie ,Musées
Timișoara Orthodox Cathedral,  Bulevardul Regele Ferdinand I Timisoara Roumanie ,Musées d'art
Muzeul de Arta,  Timisoara Piata Unirii nr.1 Cod Timisoara 300085 Roumanie ,Musées d'art
Grigore Antipa National Museum of Natural History,  Sos. Kiseleff nr. 1 Bucarest 011341 Roumanie ,Musées d'histoire naturelle
Carol Park (Liberty Park),  Filaret hill Bucarest Roumanie ,Nature et parcs
Tineretului Park,  Tineretului Boulevard Bucarest Roumanie ,Nature et parcs
Oradea Zoo,  #1 Matei Basarab St Oradea Roumanie ,Nature et parcs
Canionul Sapte Scari (Seven Ladders Canyon),  Timisul de Jos Roumanie ,Nature et parcs
Botanical Garden,  Republicii street 42 Cluj-Napoca Roumanie ,Nature et parcs
Mount Tampa,  Brasov Roumanie ,Nature et parcs
Cheile Turzii - Turda Gorge,  DJ107L Cluj-Napoca Roumanie ,Nature et parcs
Parcul Alexandru Ioan Cuza,  Titan area | Sector 3 Bucarest Roumanie ,Nature et parcs
Poiana Brasov,  Poiana Brasov Roumanie ,Nature et parcs
Bucegi Mountains,  Main Steet Sinaia Roumanie ,Nature et parcs
Balea Glacier Lake,  Fagaras Mountains | Bâlea Lake Romania Roumanie ,Nature et parcs
Cismigiu Gardens,  Intersection of Piata Revolutiei and B-dul Kogalniceanu Bucarest Roumanie ,Nature et parcs
Vidraru Dam,  Argeş River | between Fruntii Mountains and Ghitu mountains Curtea de Arges Roumanie ,Nature et parcs
Bear Lake,  Strada Trandafirilor Sovata Roumanie ,Nature et parcs
Roses Park,  Academician Alexandru Borza Street Timisoara Roumanie ,Nature et parcs
Herastrau Park,  B-dul Aviatorilor Bucarest Roumanie ,Nature et parcs
Mountain Postavarul,  Poiana Brasov Roumanie ,Nature et parcs
Libearty Bear Sanctuary Zarnesti,  DN 73A km 6 - near the entrance in Zarnesti from Rasnov Brasov 500075 Roumanie ,Nature et parcs
Central Park,  Cardinal Iuliu Hossu Cluj-Napoca Roumanie ,Nature et parcs
Sphinx,  Bucegi Mountains Busteni Roumanie ,Nature et parcs
Saint Anna Lake,  Loc. Tusnad Baile Tusnad Roumanie ,Nature et parcs
Cetatuia Hill,  Gruia Cluj-Napoca Roumanie ,Nature et parcs
Tineretului Park,  Tineretului Boulevard Bucarest Roumanie ,Parcs
Cismigiu Gardens,  Intersection of Piata Revolutiei and B-dul Kogalniceanu Bucarest Roumanie ,Parcs
Herastrau Park,  B-dul Aviatorilor Bucarest Roumanie ,Parcs
Central Park,  Cardinal Iuliu Hossu Cluj-Napoca Roumanie ,Parcs
Parcul Alexandru Ioan Cuza,  Titan area | Sector 3 Bucarest Roumanie ,Parcs
Carol Park (Liberty Park),  Filaret hill Bucarest Roumanie ,Parcs
Parc Aventura Brasov,  Street Paltinului | Nr. Lake Noua Brasov Roumanie ,Parcs aquatiques et d'attractions
Saint Anna Lake,  Loc. Tusnad Baile Tusnad Roumanie ,Plans d'eau
Balea Glacier Lake,  Fagaras Mountains | Bâlea Lake Romania Roumanie ,Plans d'eau
Bear Lake,  Strada Trandafirilor Sovata Roumanie ,Plans d'eau
